state,report_years,years_max,base_population,geo_unit,geography,category,subcategory,measure_group,measure_value,indicator,estimate,lower_CI,upper_CI
South Dakota,2014,2014,grade 3,state,South Dakota,gender,unknown/missing,treatment need,early or urgent,treatment need: early or urgent,31.9,13.9,49.9
Montana,2005-2006,2006,Head Start,state,Montana,gender,female,caries,untreated,untreated caries,44.4,39,49.8
Michigan,2017-2018,2018,Head Start,state,Michigan,language spoken at home,english,caries,untreated,untreated caries,44.8,39.9,49.7
Maryland,2000,2000,Head Start,state,Maryland,age,age 3,caries,untreated,untreated caries,43.5,37.3,49.7
Connecticut,2017,2017,grade K + 3,state,Connecticut,race / ethnicity,Hispanic,caries,any history,caries experience,42.6,35.4,49.7
Utah,2015-2016,2016,grade 4,state,Utah,all,total,dental sealants,present,dental sealants,41,32.4,49.7
Colorado,2016-2017,2017,Kindergarten,state,Colorado,race / ethnicity,Hispanic,caries,any history,caries experience,40.9,32.1,49.7
Florida,2013-2014,2014,grade 3,state,Florida,race / ethnicity,Hispanic,caries,any history,caries experience,40.7,31.7,49.7
Michigan,2015-2016,2016,grade 3,state,Michigan,race / ethnicity,other,treatment need,early,treatment need: early,35.2,20.8,49.7
Utah,2015-2016,2016,age 6 - 9,state,Utah,all,total,dental sealants,present,dental sealants,44.9,40.3,49.6
Michigan,2017-2018,2018,Head Start,state,Michigan,all,total,caries,untreated,untreated caries,44.8,40,49.6
Colorado,2011-2012,2012,Kindergarten,state,Colorado,race / ethnicity,multiple,caries,any history,caries experience,40.6,31.6,49.6
Montana,2005-2006,2006,grade 3,state,Montana,gender,female,caries,any history,caries experience,45.5,41.5,49.5
Florida,2016-2017,2017,grade 3,state,Florida,all,total,caries,any history,caries experience,45.5,41.5,49.5
Nebraska,2005,2005,grade 3,state,Nebraska,school percent participation in school lunch program,50 - 74%,dental sealants,present,dental sealants,42.4,35.3,49.5
Florida,2016-2017,2017,grade 3,state,Florida,race / ethnicity,other,caries,any history,caries experience,39.5,28.6,49.5
Utah,2010-2011,2011,age 6 - 9,state,Utah,ethnicity,Non-Hispanic,caries,any history,caries experience,46.7,44.1,49.4
Montana,2005-2006,2006,grade 3,state,Montana,all,total,dental sealants,present,dental sealants,46.2,43,49.4
Connecticut,2012,2012,grade K + 3,state,Connecticut,race / ethnicity,Black,caries,any history,caries experience,45.3,41.3,49.4
Connecticut,2007,2007,grade 3,state,Connecticut,race / ethnicity,Hispanic,dental sealants,present,dental sealants,38.8,28.1,49.4
Washington,2005,2005,grade 3,state,Washington,race / ethnicity,Native American,treatment need,early or urgent,treatment need: early or urgent,34.6,19.8,49.4
Nevada,2007,2007,Head Start,state,Nevada,time since last dental visit,"more than 1 year ago, but not more than three years ago",caries,untreated,untreated caries,39.1,28.83,49.37
Washington,2005,2005,grade 2 + 3,state,Washington,language spoken at home,english,dental sealants,present,dental sealants,46,42.7,49.3
Mississippi,2009-2010,2010,grade 3,state,Mississippi,last dental visit,no visit in last year,treatment need,early or urgent,treatment need: early or urgent,44.9,40.6,49.3
Mississippi,2015-2016,2016,grade 3,state,Mississippi,time since last dental visit,more than 1 year ago or never been,treatment need,early or urgent,treatment need: early or urgent,44.9,40.6,49.3
Rhode Island,2013-2014,2014,grade 3,state,Rhode Island,school percent participation in school lunch program,middle proportion,dental sealants,present,dental sealants,39.7,30.1,49.3
Nebraska,2005,2005,grade 3,state,Nebraska,all,total,dental sealants,present,dental sealants,45.3,41.3,49.2
Mississippi,2007-2008,2008,Head Start,state,Mississippi,race / ethnicity,Hispanic,treatment need,early,treatment need: early,39.7,30.2,49.2
Utah,2015-2016,2016,age 6 - 9,state,Utah,child school lunch program enrollment or eligibility,"yes, free",dental sealants,present,dental sealants,39.4,29.6,49.2
Michigan,2017-2018,2018,Head Start,state,Michigan,race / ethnicity,other,caries,any history,caries experience,39.2,29.3,49.2
Mississippi,2015-2016,2016,grade 3,state,Mississippi,dental insurance,no insurance,caries,untreated,untreated caries,42.6,36.1,49.1
Connecticut,2017,2017,grade 3,state,Connecticut,race / ethnicity,Black,dental sealants,present,dental sealants,33.8,18.4,49.1
Maine,2017,2017,grade K + 3,state,Maine,race,Asian,caries,any history,caries experience,33.1,17.2,49.1
Michigan,2017-2018,2018,Head Start,state,Michigan,language spoken at home,other,caries,untreated,untreated caries,31.5,14.0,49.1
Kentucky,2016,2016,grade 3,state,Kentucky,all,total,dental sealants,present,dental sealants,46,43,49
Kentucky,2016,2016,grade 3 + 6,state,Kentucky,child school lunch program enrollment or eligibility,eligible,treatment need,early,treatment need: early,46,42,49
Kentucky,2016,2016,grade 6,state,Kentucky,all,total,treatment need,early,treatment need: early,45,41,49
Washington,2015-2016,2016,Head Start,state,Washington,all,total,caries,any history,caries experience,45,41,49
Mississippi,2009-2010,2010,grade 3,state,Mississippi,last dental visit,no visit in last year,caries,untreated,untreated caries,44.6,40.2,49
Mississippi,2015-2016,2016,grade 3,state,Mississippi,time since last dental visit,more than 1 year ago or never been,caries,untreated,untreated caries,44.6,40.2,49
Kentucky,2016,2016,grade 6,state,Kentucky,all,total,caries,untreated,untreated caries,44,40,49
Kentucky,2016,2016,grade 6,state,Kentucky,all,total,dental sealants,present,dental sealants,43,40,49
Montana,2005-2006,2006,Head Start,state,Montana,gender,female,treatment need,early,treatment need: early,43,36.1,49
Washington,2015-2016,2016,Kindergarten,state,Washington,race / ethnicity,Non-Hispanic Asian,caries,any history,caries experience,41,35,49
Florida,2016-2017,2017,grade 3,state,Florida,school percent participation in school lunch program,> 75%,dental sealants,present,dental sealants,40.5,31.9,49
Utah,2015-2016,2016,grade 2,state,Utah,all,total,dental sealants,present,dental sealants,40.3,31.7,49
Kentucky,2016,2016,grade 3 + 6,state,Kentucky,race / ethnicity,Hispanic,treatment need,early,treatment need: early,39,29,49
Montana,2005-2006,2006,Head Start,state,Montana,gender,female,caries,any history,caries experience,44.5,40.1,48.9
Montana,2005-2006,2006,Head Start,state,Montana,race / ethnicity,Native American,caries,untreated,untreated caries,43.5,38.1,48.9
Illinois,2018-2019,2019,grade 3,state,Illinois,frequency of water consumption,2 times per day,caries,any history,caries experience,42,35,48.9
Maine,2015,2015,grade 3,state,Maine,all,total,caries,any history,caries experience,40.9,33,48.9
Colorado,2011-2012,2012,Kindergarten,state,Colorado,race / ethnicity,Black,caries,any history,caries experience,38,27.1,48.9
Maine,2019,2019,Kindergarten,state,Maine,gender,female,caries,any history,caries experience,37.9,26.8,48.9
Nevada,2003,2003,grade 3,state,Nevada,child school lunch program enrollment or eligibility,not eligible,dental sealants,present,dental sealants,43,37.2,48.8
Arizona,2015,2015,grade 3,state,Arizona,school percent participation in school lunch program,> 75%,dental sealants,present,dental sealants,42.9,37.1,48.8
Utah,2010-2011,2011,age 6 - 9,state,Utah,insurance,chip,caries,untreated,untreated caries,45.3,42,48.7
Colorado,2011-2012,2012,grade 3,state,Colorado,all,total,dental sealants,present,dental sealants,44.9,41.2,48.7
Connecticut,2017,2017,grade 3,state,Connecticut,school percent participation in school lunch program,50 - 74%,caries,any history,caries experience,44.4,40.1,48.7
Michigan,2017-2018,2018,Head Start,state,Michigan,race / ethnicity,White non-Hispanic,caries,untreated,untreated caries,42.2,35.8,48.7
Arizona,2015,2015,grade 3,state,Arizona,race / ethnicity,Hispanic,dental sealants,present,dental sealants,41.6,34.5,48.7
South Dakota,2014,2014,grade 3,state,South Dakota,annual dental visit,no,treatment need,early or urgent,treatment need: early or urgent,40.1,31.4,48.7
Louisiana,2007-2009,2009,grade 3,state,Louisiana,school type,public,treatment need,early or urgent,treatment need: early or urgent,44.4,40.2,48.6
Colorado,2016-2017,2017,grade 3,state,Colorado,school percent participation in school lunch program,< 50%,caries,any history,caries experience,39.8,31,48.6
Alaska,2011,2011,grade 3,state,Alaska,race / ethnicity,Hispanic,caries,untreated,untreated caries,6.7,22.2,48.6
Alaska,2011,2011,grade 3,state,Alaska,race / ethnicity,Asian,caries,untreated,untreated caries,34.9,21,48.6
Michigan,2015-2016,2016,grade 3,state,Michigan,race / ethnicity,Asian,treatment need,early,treatment need: early,30.4,12.2,48.6
Arizona,2015,2015,grade 3,state,Arizona,all,total,dental sealants,present,dental sealants,44.2,39.8,48.5
Florida,2016-2017,2017,grade 3,state,Florida,toothache status,no toothache,dental sealants,present,dental sealants,42.3,36,48.5
Rhode Island,2010-2011,2011,grade 3,state,Rhode Island,school percent participation in school lunch program,low proportion,caries,any history,caries experience,41.2,33.9,48.5
Wisconsin,2014,2014,Head Start,state,Wisconsin,all,total,caries,any history,caries experience,40.8,33.1,48.5
Arizona,2015,2015,Kindergarten,state,Arizona,school percent participation in school lunch program,25 - 49%,caries,any history,caries experience,40.6,32.6,48.5
Nebraska,2015-2016,2016,grade 3,state,Nebraska,school percent participation in school lunch program,25 - 49%,caries,untreated,untreated caries,39.5,30.5,48.5
Mississippi,2015-2016,2016,grade 3,state,Mississippi,race / ethnicity + school lunch status,White no frl,dental sealants,present,dental sealants,38.2,28.1,48.5
North Dakota,2004-2005,2005,grade 3,state,North Dakota,race / ethnicity,American Indian,treatment need,early or urgent,treatment need: early or urgent,35.8,24.5,48.5
Rhode Island,2010-2011,2011,grade 3,state,Rhode Island,school percent participation in school lunch program,high proportion,caries,untreated,untreated caries,43.6,38.7,48.4
Utah,2005,2005,grade 3,state,Utah,all,total,dental sealants,present,dental sealants,43.3,38.2,48.4
Utah,2005,2005,age 8,state,Utah,all,total,dental sealants,present,dental sealants,43.3,38.2,48.4
Colorado,2011-2012,2012,Kindergarten,state,Colorado,school percent participation in school lunch program,25 - 49%,caries,any history,caries experience,43.2,38,48.4
Wisconsin,2014,2014,Head Start,state,Wisconsin,race / ethnicity,Asian,caries,early childhood caries,early childhood caries,41.6,34.7,48.4
Utah,2005,2005,age 8,state,Utah,gender,male,dental sealants,present,dental sealants,41.2,34,48.4
Montana,2015-2016,2016,Kindergarten,state,Montana,all,total,caries,any history,caries experience,42.6,36.9,48.3
Nebraska,2005,2005,grade 3,state,Nebraska,school percent participation in school lunch program,25 - 49%,dental sealants,present,dental sealants,41.4,34.5,48.3
Florida,2013-2014,2014,grade 3,state,Florida,race / ethnicity,Non-Hispanic White,dental sealants,present,dental sealants,42.7,39.2,48.2
Rhode Island,2010-2011,2011,grade 3,state,Rhode Island,race / ethnicity,White non-Hispanic,caries,any history,caries experience,43.1,38.1,48.2
Wisconsin,2018,2018,grade 3,state,Wisconsin,race / ethnicity,other,treatment need,early or urgent,treatment need: early or urgent,31,13.7,48.2
Washington,2005,2005,grade 2 + 3,state,Washington,all,total,dental sealants,present,dental sealants,44.8,41.6,48.1
Mississippi,2009-2010,2010,grade 3,state,Mississippi,insurance,no insurance,treatment need,early or urgent,treatment need: early or urgent,41.6,35.2,48.1
Mississippi,2015-2016,2016,grade 3,state,Mississippi,dental insurance,no insurance,treatment need,early or urgent,treatment need: early or urgent,41.6,35.2,48.1
Maine,2017,2017,Kindergarten,state,Maine,gender,male,caries,any history,caries experience,37.9,27.7,48.1
Washington,2015-2016,2016,grade 2,state,Washington,race / ethnicity,Non-Hispanic White,caries,any history,caries experience,44,39,48
Vermont,2016-2017,2017,grade K + 3,state,Vermont,child school lunch program enrollment or eligibility,enrolled,caries,any history,caries experience,43,38,48
Connecticut,2007,2007,grade K + 3,state,Connecticut,race / ethnicity,Hispanic,caries,any history,caries experience,42.8,37.6,48
Michigan,2017-2018,2018,Head Start,state,Michigan,age,age 3,caries,untreated,untreated caries,41.1,34.2,48
South Dakota,2014,2014,grade 3,state,South Dakota,annual dental visit,no,caries,untreated,untreated caries,39.5,31.1,48
Delaware,2012-2013,2013,grade 3,state,Delaware,time since last dental visit,more than 1 year ago,treatment need,early or urgent,treatment need: early or urgent,38.6,28.5,48
Washington,2015-2016,2016,Kindergarten,state,Washington,race / ethnicity,Non-Hispanic Native Hawaiian or Other Pacific Islander,treatment need,early,treatment need: early,31,18,48
Washington,2015-2016,2016,Kindergarten,state,Washington,race / ethnicity,Non-Hispanic Native Hawaiian or Other Pacific Islander,caries,untreated,untreated caries,31,18,48
Michigan,2015-2016,2016,grade 3,state,Michigan,race / ethnicity,Black,treatment need,none,treatment need: none,30.7,13.4,48
South Dakota,2014,2014,grade 3,state,South Dakota,race / ethnicity,unknown/missing,treatment need,early or urgent,treatment need: early or urgent,30.9,14.1,47.8
Arizona,2015,2015,grade 3,state,Arizona,race / ethnicity,American Indian,dental sealants,present,dental sealants,27.7,7.7,47.8
New York,2009-2012,2012,grade 3,state,New York,family income,low income,dental sealants,present,dental sealants,43.6,39.5,47.7
Connecticut,2017,2017,grade 3,state,Connecticut,school percent participation in school lunch program,< 25%,dental sealants,present,dental sealants,41.9,36.1,47.7
Nebraska,2005,2005,grade 3,state,Nebraska,race / ethnicity,minority,dental sealants,present,dental sealants,41,34.4,47.7
Indiana,2013,2013,grade 3,state,Indiana,race / ethnicity,Hispanic,dental sealants,present,dental sealants,38.9,30.2,47.7
Colorado,2003-2004,2004,grade 3,state,Colorado,school percent participation in school lunch program,25 - 49%,dental sealants,present,dental sealants,36.7,25.7,47.7
Louisiana,2007-2009,2009,grade 3,state,Louisiana,school type,public,caries,untreated,untreated caries,43.2,38.8,47.6
Michigan,2015-2016,2016,grade 3,state,Michigan,child school lunch program enrollment or eligibility,not enrolled,caries,any history,caries experience,43,38.4,47.6
Nevada,2004,2004,Head Start,state,Nevada,dental care accessible,yes,treatment need,early,treatment need: early,42.2,36.8,47.6
Colorado,2003-2004,2004,grade 3,state,Colorado,school percent participation in school lunch program,< 25%,dental sealants,present,dental sealants,40.8,34,47.6
Illinois,2018-2019,2019,grade 3,state,Illinois,race / ethnicity,Black,caries,any history,caries experience,40.2,32.9,47.6
Alaska,2011,2011,grade 3,state,Alaska,race / ethnicity,American Indian / Alaska Native,caries,untreated,untreated caries,39.5,31.8,47.6
Connecticut,2017,2017,grade 3,state,Connecticut,school percent participation in school lunch program,25 - 49%,caries,any history,caries experience,39.1,30.7,47.6
New Hampshire,2007-2008,2008,Head Start,state,New Hampshire,age,age 4,caries,any history,caries experience,43.9,40.3,47.5
Alabama,2011-2013,2013,Kindergarten,state,Alabama,all,total,caries,any history,caries experience,43.1,38.7,47.5
Nevada,2003,2003,grade 3,state,Nevada,insurance,no dental insurance,treatment need,early,treatment need: early,42.7,37.6,47.5
Colorado,2013-2014,2014,Head Start,state,Colorado,gender,male,caries,any history,caries experience,40.9,34.3,47.5
Nevada,2006,2006,grade 3,state,Nevada,time since last dental visit,never been to the dentist,treatment need,none,treatment need: none,34.5,21.6,47.5
New Hampshire,2008-2009,2009,grade 3,state,New Hampshire,all,total,caries,any history,caries experience,43.6,39.7,47.4
New Hampshire,2007-2008,2008,Head Start,state,New Hampshire,gender,female,caries,any history,caries experience,42.4,37.4,47.4
Florida,2016-2017,2017,grade 3,state,Florida,school percent participation in school lunch program,25 - 49%,dental sealants,present,dental sealants,41.7,35.9,47.4
Connecticut,2017,2017,Kindergarten,state,Connecticut,race / ethnicity,Hispanic,caries,any history,caries experience,39.4,31.4,47.4
Maine,2019,2019,grade 3,state,Maine,gender,male,treatment need,early or urgent,treatment need: early or urgent,27.2,7,47.4
Nevada,2007,2007,Head Start,state,Nevada,time since last dental visit,never been to the dentist,treatment need,early,treatment need: early,35.9,24.43,47.37
Connecticut,2017,2017,Kindergarten,state,Connecticut,race / ethnicity,Asian,caries,any history,caries experience,35.4,23.4,47.3
Nebraska,2015-2016,2016,Head Start,state,Nebraska,race / ethnicity,Hispanic,caries,untreated,untreated caries,34.4,21.6,47.3
Utah,2010-2011,2011,age 6 - 9,state,Utah,insurance,none,caries,untreated,untreated caries,41.3,35.4,47.2
Minnesota,2015,2015,grade 3,state,Minnesota,school percent participation in school lunch program,< 25%,caries,any history,caries experience,39.8,32.4,47.2
Illinois,2013-2014,2014,grade 3,state,Illinois,race / ethnicity,Black,dental sealants,present,dental sealants,39.2,31.7,47.2
Florida,2013-2014,2014,grade 3,state,Florida,all,total,caries,any history,caries experience,43.1,39.2,47.1
South Dakota,2010,2010,grade 3,state,South Dakota,school percent participation in school lunch program,> 50%,caries,untreated,untreated caries,39.6,32.1,47.1
Wisconsin,2018,2018,grade 3,state,Wisconsin,race / ethnicity,Hispanic,treatment need,early or urgent,treatment need: early or urgent,32.5,17.8,47.1
Kentucky,2016,2016,grade 3 + 6,state,Kentucky,child school lunch program enrollment or eligibility,eligible,dental sealants,present,dental sealants,44,41,47
Washington,2015-2016,2016,Head Start,state,Washington,language spoken at home,english,caries,any history,caries experience,42,38,47
Nevada,2003,2003,grade 3,state,Nevada,time since last dental visit,never been to the dentist,treatment need,none,treatment need: none,41.2,35.4,47
Vermont,2016-2017,2017,grade K + 3,state,Vermont,school percent participation in school lunch program,> 50%,caries,any history,caries experience,39.3,31.6,47
South Dakota,2010,2010,grade 3,state,South Dakota,race / ethnicity,other minority,caries,untreated,untreated caries,30.7,14.4,47
Rhode Island,2013-2014,2014,grade 3,state,Rhode Island,race / ethnicity,White non-Hispanic,caries,any history,caries experience,42.4,37.8,46.9
Florida,2016-2017,2017,grade 3,state,Florida,insurance,medicaid,dental sealants,present,dental sealants,39.8,32.6,46.9
Maine,2017,2017,grade K + 3,state,Maine,race,Black,dental sealants,present,dental sealants,31.4,16,46.9
Washington,2005,2005,grade 2 + 3,state,Washington,child school lunch program enrollment or eligibility,eligible,dental sealants,present,dental sealants,42.8,38.8,46.8
Wyoming,2008-2009,2009,grade 3,state,Wyoming,race,Non-White,dental sealants,present,dental sealants,42.4,38,46.8
Michigan,2015-2016,2016,grade 3,state,Michigan,child school lunch program enrollment or eligibility,not enrolled,dental sealants,present,dental sealants,40.9,35.1,46.8
Utah,2015-2016,2016,age 6 - 9,state,Utah,race,Non-White,dental sealants,present,dental sealants,32.9,19,46.8
Nevada,2007,2007,Head Start,state,Nevada,race / ethnicity,multiple or other,caries,untreated,untreated caries,33.3,19.83,46.77
Mississippi,2007-2008,2008,Head Start,state,Mississippi,age,age 4,treatment need,early or urgent,treatment need: early or urgent,43.8,40.8,46.7
Nevada,2003,2003,grade 3,state,Nevada,child school lunch program enrollment or eligibility,eligible,treatment need,early,treatment need: early,42.7,38.7,46.7
Colorado,2011-2012,2012,grade 3,state,Colorado,gender,male,dental sealants,present,dental sealants,42.6,38.5,46.7
New Hampshire,2014,2014,grade 3,state,New Hampshire,school percent participation in school lunch program,25 - 49%,caries,any history,caries experience,42.5,38.3,46.7
Michigan,2017-2018,2018,Head Start,state,Michigan,gender,female,caries,untreated,untreated caries,41.8,36.8,46.7
Nevada,2006,2006,grade 3,state,Nevada,all,total,dental sealants,present,dental sealants,41,35.5,46.7
Arizona,2015,2015,grade K + 3,state,Arizona,race / ethnicity,White non-Hispanic,caries,any history,caries experience,41.1,35.4,46.7
Vermont,2016-2017,2017,grade K + 3,state,Vermont,caregiver education,some college,caries,any history,caries experience,38,29.3,46.7
Maine,2019,2019,grade 3,state,Maine,gender,female,caries,any history,caries experience,36,25.3,46.7
Connecticut,2012,2012,grade K + 3,state,Connecticut,race / ethnicity,Hispanic,caries,any history,caries experience,43.3,39.5,46.6
Utah,2010-2011,2011,age 6,state,Utah,all,total,caries,any history,caries experience,42.6,38.7,46.6
Connecticut,2012,2012,grade 3,state,Connecticut,all,total,dental sealants,present,dental sealants,42.6,38.6,46.6
Maine,2019,2019,grade K + 3,state,Maine,all,total,caries,any history,caries experience,41.6,36.5,46.6
Florida,2016-2017,2017,grade 3,state,Florida,all,total,dental sealants,present,dental sealants,40.5,34.3,46.6
Colorado,2016-2017,2017,grade 3,state,Colorado,school percent participation in school lunch program,< 25%,caries,any history,caries experience,35.1,23.5,46.6
Louisiana,2007-2009,2009,grade 3,state,Louisiana,all,total,treatment need,early or urgent,treatment need: early or urgent,42.7,38.9,46.5
Colorado,2011-2012,2012,grade 3,state,Colorado,school percent participation in school lunch program,< 25%,caries,any history,caries experience,40.7,35,46.5
Wyoming,2008-2009,2009,grade 3,state,Wyoming,dental insurance,no covered,dental sealants,present,dental sealants,41.8,37.2,46.4
Illinois,2013-2014,2014,grade 3,state,Illinois,child school lunch program enrollment or eligibility,not eligible,caries,any history,caries experience,41.6,36.9,46.4
Wisconsin,2018,2018,grade 3,state,Wisconsin,school percent participation in school lunch program,> 75%,treatment need,early or urgent,treatment need: early or urgent,34,21.6,46.4
Mississippi,2007-2008,2008,Head Start,state,Mississippi,age,age 4,caries,untreated,untreated caries,43.3,40.4,46.3
Illinois,2018-2019,2019,grade 3,state,Illinois,gender,male,caries,any history,caries experience,42.2,38.1,46.3
Colorado,2013-2014,2014,Head Start,state,Colorado,all,total,caries,any history,caries experience,41.7,37,46.3
Washington,2005,2005,grade 3,state,Washington,race / ethnicity,Black,dental sealants,present,dental sealants,40.5,34.8,46.2
Rhode Island,2013-2014,2014,grade 3,state,Rhode Island,school percent participation in school lunch program,low proportion,caries,any history,caries experience,39.2,32.1,46.2
Michigan,2015-2016,2016,grade 3,state,Michigan,dental insurance,no insurance,caries,untreated,untreated caries,35.2,24.3,46.2
Colorado,2011-2012,2012,grade 3,state,Colorado,race / ethnicity,Hispanic,dental sealants,present,dental sealants,41.8,37.5,46.1
Colorado,2011-2012,2012,grade 3,state,Colorado,race / ethnicity,Hispanic,dental sealants,present,dental sealants,41.8,37.5,46.1
Mississippi,2007-2008,2008,Head Start,state,Mississippi,age,age 5,caries,untreated,untreated caries,41.4,36.8,46.1
Nevada,2006,2006,grade 3,state,Nevada,child school lunch program enrollment or eligibility,eligible,treatment need,early,treatment need: early,41.3,36.5,46.1
Michigan,2017-2018,2018,Head Start,state,Michigan,race / ethnicity,Hispanic,caries,any history,caries experience,36.5,26.9,46.1
Florida,2014-2015,2015,Head Start,state,Florida,race / ethnicity,multiple,caries,any history,caries experience,30.7,15.4,46.1
Utah,2010-2011,2011,grade 3,state,Utah,all,total,dental sealants,present,dental sealants,41.9,37.9,46
Mississippi,2007-2008,2008,Head Start,state,Mississippi,age,age 5,treatment need,early or urgent,treatment need: early or urgent,41.4,36.8,46
Washington,2015-2016,2016,Head Start,state,Washington,race / ethnicity,Non-Hispanic White,caries,any history,caries experience,41,36,46
Florida,2013-2014,2014,grade 3,state,Florida,race / ethnicity,Non-Hispanic White,caries,any history,caries experience,40.4,34.7,46
Washington,2015-2016,2016,Kindergarten,state,Washington,race / ethnicity,multiple,caries,any history,caries experience,39,32,46
Delaware,2012-2013,2013,grade 3,state,Delaware,child school lunch program enrollment or eligibility,not enrolled,caries,any history,caries experience,37,27.9,46
Florida,2014-2015,2015,Head Start,state,Florida,race / ethnicity,Hispanic,caries,any history,caries experience,34.1,22.1,46
Washington,2015-2016,2016,grade 2,state,Washington,race / ethnicity,Non-Hispanic Native Hawaiian or Other Pacific Islander,caries,rampant,rampant caries,32,22,46
Washington,2015-2016,2016,grade 3,state,Washington,race / ethnicity,Non-Hispanic Native Hawaiian or Other Pacific Islander,caries,rampant,rampant caries,32,21,46
Michigan,2015-2016,2016,grade 3,state,Michigan,race / ethnicity,Hispanic,treatment need,early,treatment need: early,29.9,13.7,46
Connecticut,2012,2012,grade 3,state,Connecticut,race / ethnicity,White,dental sealants,present,dental sealants,41.9,38,45.9
Louisiana,2007-2009,2009,grade 3,state,Louisiana,all,total,caries,untreated,untreated caries,41.9,37.9,45.9
Connecticut,2017,2017,grade K + 3,state,Connecticut,school percent participation in school lunch program,50 - 74%,caries,any history,caries experience,40.7,35.5,45.9
Maine,2015,2015,grade K + 3,state,Maine,race / ethnicity,Black,dental sealants,present,dental sealants,14.4,0,45.9
New York,2002-2004,2004,grade 3,state,New York,family income,high income,dental sealants,present,dental sealants,41.1,36.396,45.804
Connecticut,2017,2017,grade 3,state,Connecticut,all,total,caries,any history,caries experience,41.5,37.5,45.8
North Dakota,2009-2010,2010,grade 3,state,North Dakota,race / ethnicity,American Indian,treatment need,early or urgent,treatment need: early or urgent,39.1,32.5,45.8
North Dakota,2009-2010,2010,grade 3,state,North Dakota,race / ethnicity,American Indian,caries,untreated,untreated caries,39.1,32.5,45.8
Florida,2016-2017,2017,grade 3,state,Florida,age,age 10 - 11,caries,any history,caries experience,37.9,30,45.8
Mississippi,2009-2010,2010,grade 3,state,Mississippi,race / ethnicity + school lunch status,Non-Hispanic Black yes frl,treatment need,early or urgent,treatment need: early or urgent,42.3,39,45.7
Maine,2019,2019,Kindergarten,state,Maine,gender,overall,caries,any history,caries experience,38.8,31.8,45.7
Rhode Island,2010-2011,2011,grade 3,state,Rhode Island,school percent participation in school lunch program,low proportion,dental sealants,present,dental sealants,38.2,30.6,45.7
Connecticut,2017,2017,Kindergarten,state,Connecticut,school percent participation in school lunch program,50 - 74%,caries,any history,caries experience,37.4,29.2,45.7
Nevada,2006,2006,grade 3,state,Nevada,insurance,dental insurance,caries,untreated,untreated caries,34.7,23.8,45.7
Montana,2014,2014,grade 3,state,Montana,race / ethnicity,other minorities,caries,untreated,untreated caries,31.7,17.7,45.7
Michigan,2017-2018,2018,Head Start,state,Michigan,age,age 4,caries,untreated,untreated caries,40.8,36.1,45.6
New Hampshire,2008-2009,2009,grade 3,state,New Hampshire,gender,male,caries,any history,caries experience,40.8,35.9,45.6
Florida,2013-2014,2014,grade 3,state,Florida,school percent participation in school lunch program,50 - 74%,dental sealants,present,dental sealants,38.5,31.4,45.6
Maine,2019,2019,grade K + 3,state,Maine,gender,female,caries,any history,caries experience,37,28.3,45.6
Maine,2017,2017,grade 3,state,Maine,gender,female,caries,any history,caries experience,35.8,25.9,45.6
Ohio,2004-2005,2005,grade 3,state,Ohio,all,total,dental sealants,present,dental sealants,43.3,41.1,45.5
Nevada,2004,2004,Head Start,state,Nevada,dental insurance,no,caries,untreated,untreated caries,41.4,37.3,45.5
Rhode Island,2010-2011,2011,grade 3,state,Rhode Island,school percent participation in school lunch program,middle proportion,dental sealants,present,dental sealants,40.5,35.4,45.5
Delaware,2012-2013,2013,grade 3,state,Delaware,dental insurance,has insurance,caries,any history,caries experience,38.4,31.3,45.5
Wisconsin,2014,2014,Head Start,state,Wisconsin,age,age 4,caries,any history,caries experience,38,30.5,45.5
South Dakota,2010,2010,grade 3,state,South Dakota,dental insurance,government dental insurance,caries,untreated,untreated caries,37.7,29.9,45.5
Maine,2015,2015,grade 3,state,Maine,gender,female,caries,any history,caries experience,36.7,27.8,45.5
Nevada,2006,2006,grade 3,state,Nevada,child school lunch program enrollment or eligibility,eligible,dental sealants,present,dental sealants,36.2,27.1,45.4
Michigan,2015-2016,2016,grade 3,state,Michigan,dental insurance,public,treatment need,early,treatment need: early,34.2,23,45.4
North Dakota,2004-2005,2005,grade 3,state,North Dakota,race / ethnicity,American Indian,caries,untreated,untreated caries,32.8,21.8,45.4
Florida,2016-2017,2017,grade 3,state,Florida,race / ethnicity,Non-Hispanic Asian,caries,untreated,untreated caries,30.5,15.7,45.4
Montana,2017-2018,2018,grade 3,state,Montana,race / ethnicity,American Indian,caries,any history,caries experience,84,72.5,45.3
Alaska,2011,2011,Kindergarten,state,Alaska,all,total,caries,any history,caries experience,41.4,37.6,45.3
Nevada,2003,2003,grade 3,state,Nevada,time since last dental visit,more than 1 year,treatment need,early,treatment need: early,40.7,36.2,45.3
Michigan,2015-2016,2016,grade 3,state,Michigan,dental insurance,private ,dental sealants,present,dental sealants,40.1,34.9,45.3
Alaska,2011,2011,grade 3,state,Alaska,race / ethnicity,"Non-White, Non-American Indian / Alaska Native",dental sealants,present,dental sealants,38,31.1,45.3
South Dakota,2010,2010,grade 3,state,South Dakota,child school lunch program enrollment or eligibility,not eligible,caries,untreated,untreated caries,38.1,31,45.3
Mississippi,2015-2016,2016,grade 3,state,Mississippi,child school lunch program enrollment or eligibility,not eligible,dental sealants,present,dental sealants,36.7,27,45.3
