code,code_dot,Any,description,notes
S034XXS,S03.4XXS,x,"Sprain of jaw, sequela",
S0340,S03.40,x,"Sprain of jaw, unspecified side",added 2017
S0340XA,S03.40XA,x,"Sprain of jaw, unspecified side, initial encounter",added 2017
S0340XD,S03.40XD,x,"Sprain of jaw, unspecified side, subsequent encounter",added 2017
S0340XS,S03.40XS,x,"Sprain of jaw, unspecified side, sequela",added 2017
S0341,S03.41,x,"Sprain of jaw, right side",added 2017
S0341XA,S03.41XA,x,"Sprain of jaw, right side, initial encounter",added 2017
S0341XD,S03.41XD,x,"Sprain of jaw, right side, subsequent encounter",added 2017
S0341XS,S03.41XS,x,"Sprain of jaw, right side, sequela",added 2017
S0342,S03.42,x,"Sprain of jaw, left side",added 2017
S0342XA,S03.42XA,x,"Sprain of jaw, left side, initial encounter",added 2017
S0342XD,S03.42XD,x,"Sprain of jaw, left side, subsequent encounter",added 2017
S0342XS,S03.42XS,x,"Sprain of jaw, left side, sequela",added 2017
S0343,S03.43,x,"Sprain of jaw, bilateral",added 2017
S0343XA,S03.43XA,x,"Sprain of jaw, bilateral, initial encounter",added 2017
S0343XD,S03.43XD,x,"Sprain of jaw, bilateral, subsequent encounter",added 2017
S0343XS,S03.43XS,x,"Sprain of jaw, bilateral, sequela",added 2017
S0993,S09.93,x,Unspecified injury of face,
S0993XA,S09.93XA,x,"Unspecified injury of face, initial encounter",
S0993XD,S09.93XD,x,"Unspecified injury of face, subsequent encounter",
S0993XS,S09.93XS,x,"Unspecified injury of face, sequela",
Z012,Z01.2,x,Encounter for dental examination and cleaning,
Z0120,Z01.20,x,Encounter for dental examination and cleaning without abnormal findings,
Z0121,Z01.21,x,Encounter for dental examination and cleanign with abnormal findings,
Z463,Z46.3,x,Encounter for fitting and adjustment of dental prosthetic device,
Z464,Z46.4,x,Encounter for fitting and adjustment of orthodontic device,
