year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2018,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2016,LA,Louisiana,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2016,NC,North Carolina,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2019,NE,Nebraska,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2017,SD,South Dakota,System for children with cleft lips/cleft palates,No,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2013,WY,Wyoming,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,IL,Illinois,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2013,WY,Wyoming,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2020,PA,Pennsylvania,Current state dental director,Yes,Leadership,,,Current state dental director
2018,MO,Missouri,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2019,VA,Virginia,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2018,NE,Nebraska,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2018,AZ,Arizona,Current state dental director,Yes,Leadership,,,Current state dental director
2017,ME,Maine,Prevention Programs,,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2016,AL,Alabama,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2015,VT,Vermont,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,WY,Wyoming,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,SC,South Carolina,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2016,ID,Idaho,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,7.33,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2014,NV,Nevada,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2019,ND,North Dakota,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2019,WY,Wyoming,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2016,NJ,New Jersey,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2016,AZ,Arizona,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2019,UT,Utah,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2019,DE,Delaware,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2015,ND,North Dakota,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2019,DE,Delaware,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,KS,Kansas,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2019,MA,Massachusetts,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2019,OH,Ohio,Prevention Programs,,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2018,MS,Mississippi,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2017,SD,South Dakota,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2019,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2011,ME,Maine,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2015,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2016,LA,Louisiana,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2019,KY,Kentucky,Current state dental director,Permanent,Leadership,,,Current state dental director
2020,IA,Iowa,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2012,ID,Idaho,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2012,MT,Montana,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2014,IA,Iowa,Current state dental director,Yes,Leadership,,,Current state dental director
2011,DC,District of Columbia,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2018,ID,Idaho,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2019,KS,Kansas,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2018,ME,Maine,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2013,MN,Minnesota,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2015,WV,West Virginia,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2020,NY,New York,Statutory requirement or authority,,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,OR,Oregon,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2018,WV,West Virginia,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2019,RI,Rhode Island,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2012,KY,Kentucky,System for children with cleft lips/cleft palates,,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,NH,New Hampshire,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,20,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,WY,Wyoming,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2017,NE,Nebraska,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,TX,Texas,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2015,OR,Oregon,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2015,FL,Florida,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2013,WI,Wisconsin,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2018,AZ,Arizona,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2012,WV,West Virginia,State dental director/program manager position requirement,No,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2018,CO,Colorado,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,11.5,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2015,WV,West Virginia,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2012,MO,Missouri,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2015,MD,Maryland,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2016,TX,Texas,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2012,AR,Arkansas,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2017,LA,Louisiana,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2017,OK,Oklahoma,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2015,DC,District of Columbia,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,NC,North Carolina,"Number of health agencies serving jurisdictions of 250,000+ population",7,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2018,VA,Virginia,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2013,UT,Utah,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2016,NH,New Hampshire,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2017,TX,Texas,"Number of health agencies serving jurisdictions of 250,000+ population",22,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2018,LA,Louisiana,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2017,MI,Michigan,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2016,KS,Kansas,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2014,PA,Pennsylvania,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2019,NC,North Carolina,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2016,SC,South Carolina,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,WI,Wisconsin,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6.4,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2020,ND,North Dakota,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,CA,California,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2013,DE,Delaware,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2011,OR,Oregon,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2018,UT,Utah,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2014,OH,Ohio,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2016,IA,Iowa,Current state dental director,Yes,Leadership,,,Current state dental director
2019,GA,Georgia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2018,UT,Utah,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2016,LA,Louisiana,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2018,CT,Connecticut,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2015,ME,Maine,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2013,AL,Alabama,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2014,HI,Hawaii,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,KY,Kentucky,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2015,NH,New Hampshire,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2018,NC,North Carolina,"Number of health agencies serving jurisdictions of 250,000+ population",6,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2018,OR,Oregon,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2015,TN,Tennessee,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,185,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,WA,Washington,State dental director/program manager position requirement,Yes,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2013,OK,Oklahoma,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,10,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2014,NC,North Carolina,System for children with cleft lips/cleft palates,No,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2019,NY,New York,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2016,ND,North Dakota,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2017,WI,Wisconsin,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,OR,Oregon,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2014,NJ,New Jersey,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2015,FL,Florida,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,OH,Ohio,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2014,NV,Nevada,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,ID,Idaho,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2017,NV,Nevada,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2020,ME,Maine,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2019,MI,Michigan,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2016,IL,Illinois,"Number of health agencies serving jurisdictions of 250,000+ population",8,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2018,OR,Oregon,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2018,SC,South Carolina,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2011,NC,North Carolina,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2018,NM,New Mexico,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2019,FL,Florida,"Number of health agencies serving jurisdictions of 250,000+ population",13,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2012,ID,Idaho,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2019,MA,Massachusetts,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2012,LA,Louisiana,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2018,NH,New Hampshire,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,CA,California,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2016,MO,Missouri,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2017,IL,Illinois,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2020,VA,Virginia,Current state dental director,Yes,Leadership,,,Current state dental director
2016,KY,Kentucky,Current state dental director,Yes,Leadership,,,Current state dental director
2018,HI,Hawaii,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2017,NH,New Hampshire,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2019,WY,Wyoming,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2012,NE,Nebraska,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2020,OK,Oklahoma,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,DE,Delaware,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2020,SD,South Dakota,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2013,MO,Missouri,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2012,FL,Florida,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,LA,Louisiana,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2011,MO,Missouri,Years in current dental director position,0,Leadership,years,,Years in current dental director position
2012,NJ,New Jersey,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2012,CO,Colorado,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2011,NM,New Mexico,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2011,TX,Texas,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2012,VT,Vermont,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,WV,West Virginia,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2014,OH,Ohio,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2018,NJ,New Jersey,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2017,IA,Iowa,System for children with cleft lips/cleft palates,No,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2016,TN,Tennessee,System for children with cleft lips/cleft palates,,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,IA,Iowa,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,WA,Washington,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0.8,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2012,NV,Nevada,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2017,IN,Indiana,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,CO,Colorado,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2016,VT,Vermont,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2017,WA,Washington,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,DC,District of Columbia,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2013,TX,Texas,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,MT,Montana,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2015,NM,New Mexico,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,11.75,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2016,SD,South Dakota,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2011,NH,New Hampshire,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2019,FL,Florida,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2015,MD,Maryland,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2015,LA,Louisiana,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2011,TX,Texas,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2019,AR,Arkansas,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2013,IL,Illinois,Current state dental director,Yes,Leadership,,,Current state dental director
2017,CA,California,Dental director position type,Appointed Governor,Leadership,multiple choice,,Dental director position type
2019,NV,Nevada,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,WY,Wyoming,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2012,LA,Louisiana,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2012,DE,Delaware,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2014,MN,Minnesota,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,ND,North Dakota,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,MN,Minnesota,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2011,OK,Oklahoma,Years in current dental director position,2,Leadership,years,,Years in current dental director position
2019,AZ,Arizona,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2016,IL,Illinois,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2018,VT,Vermont,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2011,WV,West Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2017,NH,New Hampshire,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2011,DE,Delaware,Years in current dental director position,10,Leadership,years,,Years in current dental director position
2017,NM,New Mexico,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2012,MA,Massachusetts,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,NJ,New Jersey,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2020,FL,Florida,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
